1,1,96M,0.33,1.3M,0.31
1,2,96M,0.32,1.3M,0.31
1,3,96M,0.30,820K,0.30
1,4,96M,0.38,476K,0.29
1,5,96M,0.38,476K,0.29
1,6,96M,0.38,476K,0.29
1,7,96M,0.38,476K,0.29
1,8,96M,0.38,476K,0.29
1,9,96M,0.38,476K,0.29
2,1,100M,2.13,113M,0.43
2,2,100M,2.12,113M,0.43
2,3,100M,2.16,113M,0.43
2,4,100M,2.23,113M,0.43
2,5,100M,2.22,113M,0.42
2,6,100M,2.22,113M,0.43
2,7,100M,2.22,113M,0.43
2,8,100M,2.21,113M,0.42
2,9,100M,2.23,113M,0.42
3,1,103M,1.23,60M,0.78
3,2,103M,1.59,60M,0.78
3,3,103M,1.90,60M,0.78
3,4,103M,2.51,58M,0.86
3,5,103M,3.22,58M,0.85
3,6,103M,3.45,58M,0.85
3,7,103M,3.43,58M,0.85
3,8,103M,3.42,58M,0.85
3,9,103M,3.43,58M,0.85
4,1,100M,3.15,81M,0.77
4,2,100M,3.17,81M,0.77
4,3,100M,3.19,81M,0.85
4,4,100M,3.72,81M,0.68
4,5,100M,3.59,81M,0.68
4,6,100M,3.59,81M,0.70
4,7,100M,3.62,81M,0.69
4,8,100M,3.77,81M,0.69
4,9,100M,3.68,81M,0.71
5,1,113M,3.13,81M,0.79
5,2,113M,3.17,81M,0.79
5,3,113M,3.38,81M,0.80
5,4,113M,3.69,81M,0.69
5,5,113M,3.70,81M,0.69
5,6,113M,3.69,81M,0.68
5,7,113M,3.74,81M,0.68
5,8,113M,3.68,81M,0.67
5,9,113M,3.63,81M,0.67
6,1,100M,2.12,113M,0.45
6,2,100M,2.12,113M,0.44
6,3,100M,2.12,113M,0.43
6,4,100M,2.21,113M,0.42
6,5,100M,2.22,113M,0.43
6,6,100M,2.26,113M,0.42
6,7,100M,2.22,113M,0.44
6,8,100M,2.23,113M,0.42
6,9,100M,2.22,113M,0.44
1,1,96M,,,0.29
1,2,96M,,,0.30
1,3,96M,,,0.29
1,4,96M,,,0.29
1,5,96M,,,0.28
1,6,96M,,,0.29
1,7,96M,,,0.30
1,8,96M,,,0.29
1,9,96M,,,0.31
2,1,100M,,,0.46
2,2,100M,,,0.43
2,3,100M,,,0.45
2,4,100M,,,0.42
2,5,100M,,,0.44
2,6,100M,,,0.44
2,7,100M,,,0.42
2,8,100M,,,0.43
2,9,100M,,,0.43
3,1,103M,,,0.76
3,2,103M,,,0.78
3,3,103M,,,0.78
3,4,103M,,,0.86
3,5,103M,,,0.85
3,6,103M,,,0.86
3,7,103M,,,0.86
3,8,103M,,,0.98
3,9,103M,,,0.94
4,1,100M,,,0.83
4,2,100M,,,0.83
4,3,100M,,,0.79
4,4,100M,,,0.75
4,5,100M,,,0.71
4,6,100M,,,0.69
4,7,100M,,,0.70
4,8,100M,,,0.69
4,9,100M,,,0.69
5,1,113M,,,0.78
5,2,113M,,,0.78
5,3,113M,,,0.80
5,4,113M,,,0.68
5,5,113M,,,0.69
5,6,113M,,,0.68
5,7,113M,,,0.74
5,8,113M,,,0.68
5,9,113M,,,0.68
6,1,100M,,,0.44
6,2,100M,,,0.44
6,3,100M,,,0.47
6,4,100M,,,0.45
6,5,100M,,,0.43
6,6,100M,,,0.43
6,7,100M,,,0.43
6,8,100M,,,0.44
6,9,100M,,,0.43
1,1,96M,,,0.29
1,2,96M,,,0.29
1,3,96M,,,0.29
1,4,96M,,,0.28
1,5,96M,,,0.29
1,6,96M,,,0.30
1,7,96M,,,0.29
1,8,96M,,,0.28
1,9,96M,,,0.30
2,1,100M,,,0.48
2,2,100M,,,0.44
2,3,100M,,,0.43
2,4,100M,,,0.43
2,5,100M,,,0.43
2,6,100M,,,0.43
2,7,100M,,,0.42
2,8,100M,,,0.43
2,9,100M,,,0.43
3,1,103M,,,0.80
3,2,103M,,,0.82
3,3,103M,,,0.78
3,4,103M,,,0.85
3,5,103M,,,0.89
3,6,103M,,,0.87
3,7,103M,,,0.88
3,8,103M,,,0.85
3,9,103M,,,0.85
4,1,100M,,,0.77
4,2,100M,,,0.78
4,3,100M,,,0.78
4,4,100M,,,0.69
4,5,100M,,,0.69
4,6,100M,,,0.70
4,7,100M,,,0.69
4,8,100M,,,0.72
4,9,100M,,,0.69
5,1,113M,,,0.78
5,2,113M,,,0.78
5,3,113M,,,0.82
5,4,113M,,,0.75
5,5,113M,,,0.70
5,6,113M,,,0.67
5,7,113M,,,0.67
5,8,113M,,,0.70
5,9,113M,,,0.68
6,1,100M,,,0.42
6,2,100M,,,0.43
6,3,100M,,,0.43
6,4,100M,,,0.43
6,5,100M,,,0.42
6,6,100M,,,0.43
6,7,100M,,,0.44
6,8,100M,,,0.43
6,9,100M,,,0.43
1,1,96M,,,0.29
1,2,96M,,,0.30
1,3,96M,,,0.29
1,4,96M,,,0.28
1,5,96M,,,0.29
1,6,96M,,,0.28
1,7,96M,,,0.29
1,8,96M,,,0.28
1,9,96M,,,0.29
2,1,100M,,,0.42
2,2,100M,,,0.42
2,3,100M,,,0.43
2,4,100M,,,0.43
2,5,100M,,,0.43
2,6,100M,,,0.43
2,7,100M,,,0.43
2,8,100M,,,0.44
2,9,100M,,,0.43
3,1,103M,,,0.78
3,2,103M,,,0.79
3,3,103M,,,0.79
3,4,103M,,,0.85
3,5,103M,,,0.85
3,6,103M,,,0.86
3,7,103M,,,0.88
3,8,103M,,,0.85
3,9,103M,,,0.85
4,1,100M,,,0.77
4,2,100M,,,0.78
4,3,100M,,,0.77
4,4,100M,,,0.68
4,5,100M,,,0.69
4,6,100M,,,0.68
4,7,100M,,,0.69
4,8,100M,,,0.69
4,9,100M,,,0.69
5,1,113M,,,0.78
5,2,113M,,,0.78
5,3,113M,,,0.77
5,4,113M,,,0.67
5,5,113M,,,0.67
5,6,113M,,,0.67
5,7,113M,,,0.70
5,8,113M,,,0.67
5,9,113M,,,0.67
6,1,100M,,,0.42
6,2,100M,,,0.43
6,3,100M,,,0.43
6,4,100M,,,0.44
6,5,100M,,,0.43
6,6,100M,,,0.43
6,7,100M,,,0.43
6,8,100M,,,0.43
6,9,100M,,,0.43
1,1,96M,,,0.29
1,2,96M,,,0.30
1,3,96M,,,0.29
1,4,96M,,,0.29
1,5,96M,,,0.29
1,6,96M,,,0.29
1,7,96M,,,0.29
1,8,96M,,,0.28
1,9,96M,,,0.29
2,1,100M,,,0.42
2,2,100M,,,0.43
2,3,100M,,,0.42
2,4,100M,,,0.42
2,5,100M,,,0.42
2,6,100M,,,0.43
2,7,100M,,,0.42
2,8,100M,,,0.42
2,9,100M,,,0.43
3,1,103M,,,0.77
3,2,103M,,,0.78
3,3,103M,,,0.78
3,4,103M,,,0.85
3,5,103M,,,0.84
3,6,103M,,,0.84
3,7,103M,,,0.85
3,8,103M,,,0.85
3,9,103M,,,0.84
4,1,100M,,,0.77
4,2,100M,,,0.78
4,3,100M,,,0.77
4,4,100M,,,0.69
4,5,100M,,,0.69
4,6,100M,,,0.69
4,7,100M,,,0.69
4,8,100M,,,0.69
4,9,100M,,,0.68
5,1,113M,,,0.77
5,2,113M,,,0.78
5,3,113M,,,0.78
5,4,113M,,,0.67
5,5,113M,,,0.67
5,6,113M,,,0.69
5,7,113M,,,0.67
5,8,113M,,,0.67
5,9,113M,,,0.67
6,1,100M,,,0.43
6,2,100M,,,0.43
6,3,100M,,,0.43
6,4,100M,,,0.44
6,5,100M,,,0.42
6,6,100M,,,0.42
6,7,100M,,,0.43
6,8,100M,,,0.43
6,9,100M,,,0.42
